22|1117
7|1114
2|1112
9|1113
14|1118
4|1120
15|1119
6|1116
3|1115
1|1139
9|1141
44|1121
7|1142
6|1144
15|1146
58|1147
2|1140
3|1143
22|1145
48|1148
17|1151
1|1170
2|1171
3|1174
22|1176
9|1172
7|1173
14|1177
6|1175
2|1205
6|1209
21|1212
1|1204
9|1206
3|1208
22|1210
7|1207
15|1211
13|1213
1|1242
2|1243
7|1245
9|1244
1|1254
9|1256
2|1255
7|1257
2|1278
7|1280
1|1277
9|1279
7|1304
1|1301
2|1320
9|1303
9|1321
7|1322
1|1319
2|1302
2|1332
3|1335
6|1336
15|1338
1|1331
9|1333
19|1348
7|1334
19|1347
7|1363
1|1360
3|1364
2|1361
9|1362
1|1388
7|1391
3|1392
15|1395
21|1397
11|1399
4|1396
14|1394
2|1389
23|1398
29|1400
6|1393
9|1390
7|1413
2|1411
19|1408
28|1403
15|1417
19|1407
19|1404
12|1401
26|1416
13|1402
1|1410
48|1419
59|1420
19|1405
3|1414
19|1406
18|1425
12|1424
19|1428
9|1412
4|1418
19|1430
19|1409
14|1415
11|1422
32|1421
19|1433
19|1434
13|1426
19|1435
19|1436
2|1439
19|1437
19|1429
9|1440
7|1441
55|1427
3|1442
19|1431
19|1432
58|1450
1|1438
29|1423
7|1466
2|1464
1|1463
13|1454
9|1465
3|1467
32|1451
9|1485
7|1486
1|1483
2|1484
1|1510
2|1511
13|1522
7|1513
1|1532
9|1534
11|1520
2|1533
7|1535
13|1547
12|1546
9|1512
3|1560
7|1559
9|1558
1|1556
2|1557
13|1569
2|1582
7|1584
1|1581
9|1583
3|1585
14|1587
7|1609
2|1607
14|1612
21|1615
1|1606
62|1620
61|1621
15|1613
9|1608
13|1619
12|1618
3|1610
19|1625
1|1638
9|1640
2|1639
19|1627
7|1641
2|1667
9|1668
1|1666
13|1679
3|1670
7|1669
2|1690
1|1689
7|1692
9|1691
7|1712
4|1717
15|1716
2|1710
12|1721
13|1722
9|1711
3|1713
1|1727
14|1715
19|1724
9|1729
7|1730
14|1733
3|1731
4|1736
11|1739
15|1735
2|1728
12|1741
19|1750
19|1743
19|1744
1|1709
13|1742
19|1726
19|1748
19|1749
19|1746
35|1723
19|1745
2|1752
3|1755
1|1769
1|1751
9|1753
9|1771
19|1767
3|1773
13|1763
19|1768
2|1770
7|1754
2|1788
7|1772
1|1787
3|1791
15|1794
13|1780
1|1810
3|1814
7|1813
2|1811
26|1816
9|1812
15|1817
6|1836
1|1831
12|1822
2|1832
9|1833
7|1834
2|1871
9|1872
1|1870
6|1875
7|1873
1|1896
